aid,title,reason
607477,post merger restructuring and the boundaries of the firm,No citations
729833,crises and confidence systemic banking crises and depositor behavior,No citations
736101,who works for startups the relation between firm age employee age and growth,No citations
782744,female leadership and gender equity evidence from plant closure,No citations
825225,the long term impacts of medicaid exposure in early childhood evidence from the programs origin,No citations
984276,local food prices snap purchasing power and child health,No citations
634070,the medical care costs of obesity an instrumental variables approach,No citations
491262,has public health insurance for older children reduced disparities in access to care and health outcomes,No citations
614911,school quality and the education health relationship evidence from blacks in segregated schools,No citations
917078,do medical marijuana laws reduce addictions and deaths related to pain killers,No citations
447972,do food stamps cause obesity evidence from immigrant experience,No citations
383936,the demand for dependent health insurance how important is the cost of family coverage,No citations
976866,disease outbreaks healthcare utilization and on time immunization in the first year of life,No citations
374450,an empirical investigation of the determinants of street homelessness,No citations
729921,do housing choice voucher holders live near good schools,No citations
982741,has falling crime invited gentrification,No citations
475083,location location location the 3l approach to house price determination,No citations
465338,intergenerational economic mobility in the united states 1940 to 2000,No citations
855380,"saying ""i dont"" the effect of the affordable care act young adult provision on marriage",Not in WOS or Misspelling
103018,new data bases in human resources  the characteristics of business owners data base,Not in WOS or Misspelling
166027,gender segregation in small firms,No citations
378901,relative deprivation poor health habits and mortality,No citations
645342,revising our thinking about the relationship between maternal labor supply and preschool,No citations
297933,market forces and sex discrimination,No citations
508132,partially identifying treatment effects with an application to covering the uninsured,No citations
275653,are children worse off evaluating well being using a new (and improved) measure of poverty,No citations
844463,saving teens using a policy discontinuity to estimate the effects of medicaid eligibility,No citations
976273,the long term effects of early life medicaid coverage,No citations
962027,the effects of aggregate and gender specific labor demand shocks on child health,No citations
297935,racial matching among african american and hispanic physicians and patients,No citations
563515,are college graduates more responsive to distant labor market opportunities,No citations
597232,learning by doing and market structure,No citations
792167,change at the checkout tracing the impact of a process innovation,No citations
789183,cross sectoral variation in the volatility of plant level idiosyncratic shocks,No citations
454050,advances in logistics and the growth of intra firm trade the case of canadian affiliates of us multinationals 1984 1995,No citations
213980,environmental regulation investment timing and technology choice,No citations
445299,prices spatial competition and heterogeneous producers an empirical test,No citations
489402,trade in high tech services,No citations
897618,managing valuable knowledge in weak ip protection countries,No citations
841170,the impact of information and communication technology adoption on multinational firm boundary decisions,No citations
257484,do world product mandates really matter,No citations
897619,patent protection and the composition of multinational activity evidence from us multinational firms,No citations
195359,exporters skill upgrading and the wage gap,No citations
230336,"exceptional exporter performance cause effect """"or"""" both",No citations
398255,survival of the best fit exposure to low wage countries and the (uneven) growth of us manufacturing plants,No citations
679367,are all trade protection policies created equal empirical evidence for nonequivalent market power effects of tariffs and quotas,No citations
588992,does intellectual property rights reform spur industrial development,No citations
984240,diversification cost structure and the risk premium of multinational corporations,No citations
965318,the tradability of services geographic concentration and trade costs,No citations
697088,product and process productivity implications for quality choice and conditional exporter premia,No citations
792190,export prices of us firms,No citations
653160,exports borders distance and plant size,No citations
844528,buyer seller relationships in international trade do your neighbors matter,No citations
823395,importing exporting and firm level employment volatility,No citations
908681,pirates treasure,No citations
855435,tariff pass through firm heterogeneity and product quality,No citations
887301,domestic gains from offshoring evidence from taa linked us microdata,No citations
645403,export versus fdi and the communication of complex information,No citations
614962,plant level responses to anti dumping duties evidence from us manufacturers,Not in WOS or Misspelling
943621,investment responses to trade liberalization evidence from us industries and establishments,No citations
823388,intra firm trade and vertical fragmentation in us multinational corporations,Not in WOS or Misspelling
552438,the effects of offshoring on the elasticity of labor demand,No citations
516137,firm heterogeneity and the structure of us multinational activity,No citations
754190,there will be exports and licensing the effects of patent rights and innovation on firm sales,No citations
984212,earnings inequality and mobility trends in the united states nationally representative estimates from longitudinally linked employeremployee data,Not in WOS or Misspelling
690333,exploring differences in employment between household and establishment data,No citations
973157,local labor markets in canada and the united states,No citations
834838,its where you work increases in the dispersion of earnings across establishments and individuals in the united states,Not in WOS or Misspelling
984209,augmenting the human capital earnings equation with measures of where people work,No citations
984216,new evidence on sex segregation and sex differences in wages from matched employee employer data,No citations
212026,inter firm segregation and the black/white wage gap,Not in WOS or Misspelling
301126,nondiscrimination rules and the distribution of fringe benefits,No citations
87702,plant turnover and gross employment flows in the us manufacturing sector,No citations
984217,wage and productivity dispersion in united states manufacturing the role of computer investment,No citations
440553,why are black owned businesses less successful than white owned businesses the role of families inheritances and business human capital,No citations
542903,preschoolers enrolled and mothers at work the effects of universal prekindergarten,No citations
825259,"reallocation in the great recession cleansing """"or"""" not",No citations
690324,wage premia in employment clusters how important is worker heterogeneity,No citations
984213,who moves up the job ladder,No citations
234797,wages productivity and worker characteristics evidence from plant level production functions and wage equations,No citations
610222,neighbors and coworkers the importance of residential labor market networks,No citations
175662,managerial tenure business age and small business turnover,No citations
984210,firm performance and the volatility of worker earnings,No citations
792217,skilled immigration and the employment structures of us firms,No citations
780867,job referral networks and the determination of earnings in local labor markets,No citations
754207,do as the neighbors do examining the effect of residential neighborhoods on labor market outcomes,No citations
841199,disconnected geography a spatial analysis of disconnected youth in the united states,No citations
534257,older workers access to employer sponsored retiree health insurance 2000 2006,No citations
959141,differences in self employment duration by year of entry and pre entry wage sector attachment,No citations
632740,changes in firm pension policy trends away from traditional defined benefit plans,No citations
657932,workers unions and takeovers,No citations
119664,the relationships among acquiring and acquired firms product lines,No citations
984286,debtor protection and business dynamism,No citations
89093,firm entry and post entry performance in the us chemical industries,Not in WOS or Misspelling
435720,managerial leverage is limited by the extent of the market hierarchies specialization and the utilization of lawyers human capital,No citations
103064,the effect of ownership changes on the employment and wages of central office and other personnel,No citations
119665,the extent and nature of establishment level diversification in sixteen us manufacturing industries,Not in WOS or Misspelling
184823,the dynamic adjustment process of firm entry and exit in manufacturing and finance insurance and real estate,No citations
521630,specialization firms and markets the division of labor within and between law firms,No citations
852743,the returns to knowledge hierarchies,No citations
922285,older and slower the startup deficits lasting effects on aggregate productivity growth,No citations
409669,trade costs firms and productivity,No citations
315477,learning by doing and aggregate fluctuations,No citations
286691,sectoral job creation and destruction responses to oil price changes,No citations
632760,labor market flows in the cross section and over time,No citations
852827,the rise and fall of unions in the united states,No citations
405264,capital reallocation and liquidity,No citations
454151,"new """"or"""" used investment with credit constraints",No citations
959152,trading down and the business cycle,No citations
971209,heads i win tails you lose asymmetric taxes risk taking and innovation,No citations
962059,local labor demand and program participation dynamics evidence from new york snap administrative records,No citations
346749,the impact of state enterprise zones on urban manufacturing establishments,No citations
956380,the effect of lower transaction costs on social security disability insurance application rates and participation,No citations
230359,evaluating the impact of manufacturing extension on productivity growth,No citations
524373,trade liberalization in textiles policy effects in an import competing industry,No citations
827388,transition to clean technology,No citations
933628,growth through heterogeneous innovations,No citations
748431,dynamic inputs and resource (mis)allocation,No citations
137769,decomposing learning by doing in new plants,No citations
448086,a unified framework for measuring preferences for schools and neighborhoods,No citations
493399,place of work and place of residence informal hiring networks and labor market outcomes,No citations
252640,effects of air quality regulations on polluting industries,No citations
331338,enjoying the quiet life corporate governance and managerial preferences,No citations
982814,trouble in the tails what we know about earnings non response thirty years after lillard smith and welch,Not in WOS or Misspelling
971241,state taxation and the reallocation of business activity evidence from establishment level data,No citations
310363,the impacts of environmental regulations on industrial activity evidence from the 1970 and 1977 clean air act amendments and the census of manufactures,No citations
555302,identifying agglomeration spillovers evidence from winners and losers of large plant openings,No citations
164212,on the turnover of business firms and business managers,No citations
374496,the location of sales offices and the attraction of cities,No citations
741381,an alternative theory of the plant size distribution with geography and intra and international trade,No citations
435790,cementing relationships vertical integration foreclosure productivity and prices,No citations
941396,slow to hire quick to fire employment dynamics with asymmetric responses to news,No citations
884341,every breath you take every dollar you'll make the long term consequences of the clean air act of 1970,No citations
454180,"chutes """"or"""" ladders a longitudinal analysis of immigrant earnings",No citations
358749,market structure and productivity a concrete example,No citations
929976,planning parenthood the affordable care act young adult provision and pathways to fertility,No citations
519150,determinants of business success an examination of asian owned businesses in the usa,No citations
984235,producer price dispersion real output and the analysis of production,Not in WOS or Misspelling
212924,productivity dynamics us manufacturing plants 1972 1986,No citations
222487,the workweek of capital and capital utilization in manufacturing,No citations
428402,assessing multidimensional performance environmental and economic outcomes,Not in WOS or Misspelling
984227,measuring total factor productivity technical change and the rate of returns to research and development,Not in WOS or Misspelling
570319,did vietnam veterans get sicker in the 1990s the complicated effects of military service on self reported health,No citations
661067,tiebout sorting and neighborhood stratification,No citations
272857,environmental regulation and labor demand evidence from the south coast air basin,No citations
331357,does the availability of high wage jobs for low skilled men affect welfare expenditures evidence from shocks to the steel and coal industries,No citations
369023,public insurance and child hospitalizations access and efficiency effects,No citations
354194,foreign direct investment in a world of multiple taxes,No citations
399430,the demand for tax haven operations,No citations
730107,house prices and birth rates the impact of the real estate market on the decision to have a baby,No citations
560960,you can take it with you proposition 13 tax benefits residential mobility and willingness to pay for housing amenities,No citations
917881,the mortality effects of retirement evidence from social security eligibility at age 62,No citations
847976,does medical malpractice law improve health care quality,No citations
594170,matched fundraising evidence from a natural field experiment,No citations
382156,adverse selection in health insurance markets evidence from state small group health insurance reforms,No citations
275808,city quality of life dynamics measuring the costs of growth,No citations
257587,the census of construction industries database,Not in WOS or Misspelling
683803,does employing undocumented workers give firms a competitive advantage,No citations
433878,the environmental performance of polluting plants a spatial analysis,No citations
262218,smog reductions impact on california county growth,No citations
746319,does firm ownership affect spillover opportunities evidence from chinese manufacturing,No citations
919584,the role of agents and brokers in the market for health insurance,No citations
700062,industrial concentration of ethnic minority and women owned businesses evidence from the survey of business owners in the united states,Not in WOS or Misspelling
852934,talent recruitment and firm performance the business of major league sports,No citations
470841,measuring us innovative activity business data at the us census bureau,No citations
470842,the survey of industrial r&d patent database link project,No citations
288089,moment estimation with attrition an application to economic models,No citations
563691,using dna fingerprints to infer familial relationships within nhanes iii households,No citations
807612,simultaneous edit imputation for continuous microdata,No citations
984234,iterative automated record linkage using mixture models,No citations
741430,materials prices and productivity,No citations
550015,banking deregulations financing constraints and firm entry size,No citations
417570,offshoring foreign direct investment and the structure of us trade,No citations
290584,the relative importance of employer and employee effects on compensation a comparison of france and the united states,No citations
586806,measuring inequality using censored data a multiple imputation approach to estimation and inference,No citations
917135,structural versus ethnic dimensions of housing segregation,No citations
353045,the impact of geographic differences in human capital on service firm formation rates,No citations
942655,race specific urban wage premia and the black white wage gap,No citations
431346,cities matching and the productivity gains of agglomeration,No citations
751413,does state preschool crowd out private provision the impact of universal preschool on the childcare sector in oklahoma and georgia,No citations
356991,what drives racial segregation new evidence using census microdata,No citations
295176,why do gay men live in san francisco,No citations
473248,when are ghettos bad lessons from immigrant segregation in the united states,No citations
302980,the impact of school characteristics on house prices chicago 1987 1991,No citations
343353,the determinants of homelessness and the targeting of housing assistance,No citations
832544,the urban density premium across establishments,No citations
487820,job hopping earnings dynamics and industrial agglomeration in the software publishing industry,No citations
431345,smart cafe cities testing human capital externalities in the boston metropolitan area,No citations
542961,clusters of entrepreneurship,No citations
542959,"mom and pop meet big box complements """"or"""" substitutes",No citations
485826,"spatial mismatch """"or"""" racial mismatch",No citations
730190,do labor market networks have an important spatial dimension,No citations
979789,labor market networks and recovery from mass layoffs evidence from the great recession period,No citations
322125,marshalls scale economies,No citations
470924,where do manufacturing firms locate their headquarters,No citations
466103,interactions neighborhood selection and housing demand,No citations
244653,the silver lining of rust belt manufacturing decline,No citations
957953,do institutions determine economic geography evidence from the concentration of foreign suppliers,No citations
485824,geographic redistribution of us manufacturing and the role of state development policy,No citations
547326,who gentrifies low income neighborhoods,No citations
326537,outsourcing business services and the role of central administrative offices,No citations
345503,firm inventory behavior and the returns from highway infrastructure investments,No citations
589172,adoption and termination of employee involvement programs,No citations
984223,labor reallocation employment and earnings vector auto regression evidence,Not in WOS or Misspelling
754565,a comparison of upward and downward intergenerational mobility in canada sweden and the united states,No citations
516416,"explaining cyclical movements in employment creative destruction """"or"""" changes in utilization",No citations
440805,wages productivity and the dynamic interaction of businesses and workers,No citations
897830,trends in earnings inequality and earnings instability among us couples how important is assortative matching,No citations
841493,the shifting job tenure distribution,No citations
884626,the recent decline of single quarter jobs,No citations
789478,firm market power and the earnings distribution,No citations
485854,wage differentials in the presence of unobserved worker firm and match heterogeneity,No citations
586846,on spatial heterogeneity in environmental compliance costs,No citations
236005,the cost of water pollution regulation in the pulp and paper industry,No citations
259490,estimating the demand for air quality in four us cities,No citations
858500,spatial organization of firms and location choices through the value chain,No citations
984237,new plant venture performance differences among incumbent diversifying and entrepreneurial firms the impact of industry learning intensity,No citations
951438,screening spin outs how non compete enforceability affects the creation growth and survival of new firms,Not in WOS or Misspelling
789526,global sourcing and foreign knowledge seeking,No citations
984222,a general interindustry relatedness index,No citations
697268,ethnic innovation and us multinational firm activity,No citations
792632,do market leaders lead in business process innovation the case(s) of e business adoption,No citations
984231,diversification diseconomies of scope and vertical contracting evidence from the taxicab industry,No citations
984225,why are employer sponsored health insurance premiums higher in the public sector than in the private sector,No citations
532713,using internal cps data to reevaluate trends in labor earnings gaps,No citations
641652,the declining average size of establishments evidence and explanations,No citations
694651,high employment growth firms defining and counting them,No citations
499030,wage and productivity stability in us manufacturing plants,No citations
773510,measuring the distribution of wages in the united states from 1996 through 2010 using the occupational employment survey,No citations
256109,the characteristics of small business employees,No citations
898018,the impact of business cycles on job mobility,No citations
789605,accounting for income changes over the great recession relative to previous recessions the impact of taxes and transfers,No citations
288145,repatriation taxes and dividend distortions,No citations
653729,estimating local redistribution through property tax funded public school systems,No citations
884754,carbon tax competitiveness concerns assessing a best practices carbon credit,No citations
848207,do doubled up families minimize household level tax burden,No citations
900857,the eitc over the great recession who benefited,No citations
984233,income effects on maternal labor supply evidence from child related tax benefits,No citations
316797,unlocking the information in integrated social data,Not in WOS or Misspelling
388112,international licensing and the strengthening of intellectual property rights in developing countries during the 1990s,Not in WOS or Misspelling
505786,matching reallocation and changes in earnings dispersion,No citations
358915,exporting and productivity in the usa,No citations
187191,the choice of an input output table embedded in regional econometric input output models,No citations
309043,coverage of the population in census 2000 results from demographic analysis,No citations
917243,neighborhood concentrated disadvantage and adult mortality insights for racial and ethnic differences,No citations
604176,will they stay foreign born out migration from new us destinations,No citations
388153,population trends in metropolitan and nonmetropolitan america selective deconcentration and the rural rebound,No citations
872991,black white disparities in adult mortality implications of differential record linkage for understanding the mortality crossover,No citations
786445,mandating prescription contraception coverage effects on contraception consumption and preventive health services,No citations
361508,transitions in welfare participation and female headship,No citations
984236,relationship between season of birth temperature exposure and later life wellbeing,No citations
916246,tuskegee and the health of black men,No citations
522085,multinational firms fdi flows and imperfect capital markets,No citations
982364,how wide is the firm border,No citations
221842,implications of skill biased technological change international evidence,No citations
608329,multiproduct firms and trade liberalization,No citations
982907,firming up inequality,No citations
401814,do stronger intellectual property rights increase international technology transfer empirical evidence from us firm level panel data,No citations
124689,gross job creation gross job destruction and employment reallocation,No citations
719023,the establishment level behavior of vacancies and hiring,No citations
361558,economic impacts of new unionization on private sector employers 19842001,Not in WOS or Misspelling
193379,workers wages and technology,No citations
89491,the growth and failure of us manufacturing plants,No citations
748894,public health insurance labor supply and employment lock,No citations
719029,proximity and investment evidence from plant level data,No citations
874533,firm leverage consumer demand and employment losses during the great recession,No citations
527684,misallocation and manufacturing tfp in china and india,No citations
748901,the life cycle of plants in india and mexico,No citations
982913,consequences of the clean water act and the demand for water quality,No citations
604229,immigration skill mix and capital skill complementarity,No citations
591203,the real costs of credit access evidence from the payday lending market,No citations
941458,ranking firms using revealed preference,No citations
719048,the transitional costs of sectoral reallocation evidence from the clean air act and the workforce,No citations
594749,the efficiency of internal capital markets evidence from the annual capital expenditure survey,No citations
454608,spatial organization of firms the decision to split production and administration,No citations
185114,bounding the effects of r&d  an investigation using matched establishment firm data,No citations
77500,patterns of firm entry and exit in us manufacturing industries,No citations
151607,plant age and technology use in us manufacturing industries,No citations
710590,entry exit and the determinants of market structure,No citations
151604,learning by doing and competition in the early rayon industry,No citations
161666,on the productivity and plant ownership change  new evidence from the longitudinal research database,No citations
808203,"building new plants """"or"""" entering by acquisition firm heterogeneity and entry barriers in the us cement industry",No citations
961094,the micro elasticity of substitution and non neutral technology,No citations
841772,do homeowners mark to market a comparison of self reported and estimated market home values during the housing boom and bust,No citations
431372,do local tax incentives affect economic growth what mean impacts miss in the analysis of enterprise zone policies,No citations
486058,the agglomeration of headquarters,No citations
630240,regional industrial structure and agglomeration economies an analysis of productivity in three manufacturing industries,No citations
594755,how low income neighborhoods change entry exit and enhancement,No citations
272879,a flexible test for agglomeration economies in two us manufacturing industries,No citations
848428,the effects of negative house price changes on migration evidence across us housing downturns,No citations
679679,small homes public schools and property tax capitalization,No citations
984218,the dynamics of house price responsiveness and locational sorting evidence from air quality changes,No citations
594763,who moves to mixed income neighborhoods,No citations
432453,market thickness and outsourcing services,No citations
874559,externalities of public housing the effect of public housing demolitions on local crime,No citations
296018,the determinants of regional variation in new firm formation,No citations
793064,an evaluation of competitive industrial structure and regional manufacturing employment change,No citations
351596,international trade employment and earnings evidence from us rural counties,No citations
885015,cities immigrant diversity and complex problem solving,No citations
755055,clusters convergence and economic performance,No citations
789843,new linked data on research investments scientific workforce productivity and public value,No citations
475624,the economic forces driving food safety quality in meat and poultry,No citations
513609,the direct and indirect costs of food safety regulation,No citations
845154,spillovers in local banking markets,No citations
524980,the industry lifecycle of the size distribution of firms,Not in WOS or Misspelling
979887,who works for whom worker sorting in a model of entrepreneurship with heterogeneous labor markets,No citations
228768,capital adjustment patterns in manufacturing plants,No citations
228769,technology locks creative destruction and nonconvergence in productivity levels,No citations
587099,the impact of plant level resource reallocations and technical progress on us macroeconomic growth,No citations
342789,quantifying embodied technological change,No citations
926486,"dutch disease """"or"""" agglomeration the local economic effects of natural resource booms in modern america",No citations
486108,networking off madison avenue,No citations
319793,productivity dynamics with technology choice an application to automobile assembly,No citations
407331,on the nature of capital adjustment costs,No citations
901116,the determinants of quality specialization,No citations
885072,technology and production fragmentation domestic versus foreign sourcing,No citations
468475,an assignment theory of foreign direct investment,No citations
719549,the proximity concentration tradeoff under uncertainty,No citations
710686,estimating measurement error in annual job earnings a comparison of survey and administrative data,No citations
241066,the structure of firm r&d the factor intensity of production and skill bias,No citations
503901,abortion and selection,No citations
928830,job displacement and the duration of joblessness the role of spatial mismatch,No citations
452436,do alternative opportunities matter the role of female labor markets in the decline of teacher quality,No citations
279711,labor productivity structural change and cyclical dynamics,No citations
587118,what happens when firms patent new evidence from us economic census data,No citations
218086,a comparison of job creation and job destruction in canada and the united states,No citations
755125,forecasting aggregate productivity using information from firm level data,No citations
103557,entrepreneur human capital inputs and small business longevity,No citations
236094,the effects of general inflation and idiosyncratic cost shocks on within commodity price dispersion evidence from microdata,No citations
279718,environmental regulation and productivity evidence from oil refineries,No citations
349964,why some firms export,No citations
438557,firm structure multinationals and manufacturing plant deaths,No citations
279712,how to compete the impact of workplace practices and information technology on productivity,No citations
687492,"are children ""normal""",No citations
804915,us multinationals and preferential market access,No citations
963174,input linkages and the transmission of shocks firm level evidence from the 2011 tohoku earthquake,No citations
641860,recent trends in top income shares in the united states reconciling estimates from march cps and irs tax return data,No citations
481060,is the melting pot still hot explaining the resurgence of immigrant segregation,No citations
705476,electricity unit value prices and purchase quantities us manufacturing plants 1963 2000,No citations
612892,the effect of power plants on local housing values and rents,No citations
830196,trade credit and taxes,No citations
299779,geographic concentration as a dynamic process,No citations
112849,the duration of employment opportunities in us manufacturing,No citations
755114,estimating the impact of trade and offshoring on american workers using the current population surveys,No citations
641862,liquidity economic activity and mortality,No citations
276175,us canada trade liberalization and mnc production location,No citations
418025,market selection reallocation and restructuring in the us retail trade sector in the 1990s,No citations
789913,entrepreneurship and urban growth an empirical assessment with historical mines,No citations
112861,a generalized index of diversification trends in us manufacturing,No citations
691231,who creates jobs small versus large versus young,No citations
391539,vertical production networks in multinational firms,No citations
604368,offshoring jobs multinationals and us manufacturing employment,No citations
481059,workplace segregation in the united states race ethnicity and skill,No citations
333843,intranational home bias some explanations,No citations
122184,r&d reactions to high technology import competition,Not in WOS or Misspelling
276864,the impact of vintage and survival on productivity evidence from cohorts of us manufacturing plants,No citations
928836,childhood medicaid coverage and later life health care utilization,No citations
942147,male earnings marriageable men and non marital fertility evidence from the fracking boom,Not in WOS or Misspelling
524996,multinational enterprises international trade and productivity growth firm level evidence from the united states,No citations
804917,agglomerative forces and cluster shapes,No citations
587114,the effect of changes in the us wage structure on recent immigrants earnings,No citations
380795,fortunate sons new estimates of intergenerational mobility in the united states using social security earnings data,No citations
285949,the cost of environmental protection,No citations
931954,imputation in us manufacturing data and its implications for productivity dispersion,No citations
349962,product substitutability and productivity dispersion,No citations
233805,evidence on the employer size wage premium from worker establishment matched data,No citations
333811,the role of skill endowments in the structure of us outward foreign direct investment,No citations
214203,the missing link  technology investment and productivity,No citations
741803,do going private transactions affect plant efficiency and investment,No citations
798608,the real effects of hedge fund activism productivity asset allocation and labor outcomes,No citations
550545,the going public decision and the product market,No citations
615699,how does venture capital financing improve efficiency in private firms a look beneath the surface,No citations
415616,capital controls liberalizations and foreign direct investment,No citations
491907,financial constraints and growth multinational and local firm responses to currency depreciations,No citations
508798,leasing ability to repossess and debt capacity,No citations
199597,capital structure and product market behavior  an examination of plant exit and investment decisions,No citations
786752,does financing spur small business productivity evidence from a natural experiment,No citations
333847,real flexibility and financial structure an empirical analysis,No citations
941536,spillovers from costly credit,No citations
984230,grownup business cycles,Not in WOS or Misspelling
793176,the bright side of corporate diversification evidence from internal labor markets,No citations
898344,do managers give hometown labor an edge,No citations
506037,using the p90/p10 index to measure us inequality trends with current population survey data a view from inside the census bureau vaults,No citations
206237,primary versus secondary production techniques in us manufacturing,No citations
475649,investment behavior of us firms over heterogeneous capital goods a snapshot,No citations
197369,the pin factory revisited product diversification and productivity growth,No citations
355924,entry expansion and intensity in the us export boom 1987 1992,Not in WOS or Misspelling
919839,identifying foreign suppliers in us import data,No citations
222563,labor productivity and wages in rural and urban manufacturing plants,Not in WOS or Misspelling
633093,north south models of intellectual property rights an empirical critique,No citations
984232,weathering the great recession variation in employment responses by establishments and countries,No citations
867316,selection and specialization in the evolution of marriage earnings gaps,Not in WOS or Misspelling
531127,products and productivity,No citations
371468,the winners curse of human capital,No citations
182833,"downsizing and productivity growth  myth """"or"""" reality",No citations
351798,small north american producers give ground in the 1990s,No citations
170432,a comparison of franchise and independent small business survival rates,No citations
245360,exiting self employment an analysis of asian immigrant owned small businesses,Not in WOS or Misspelling
200714,counting the self employed using household and business sample data,No citations
529261,gender differences in business performance evidence from the characteristics of business owners survey,No citations
326852,redefining business success distinguishing between closure and failure,No citations
303321,returns to scale in small and large us manufacturing establishments further evidence,No citations
984228,returns to scale in small and large us manufacturing establishments,No citations
131681,factor substitution in small and large us manufacturing establishments  197782,Not in WOS or Misspelling
232452,factor substitution in us manufacturing  does plant size matter,No citations
232451,the demography of business closings,No citations
777042,transnational activities of immigrant owned firms and their performances in the usa,No citations
820810,suicide in the city do characteristics of place really influence risk,No citations
351832,fertility changes among immigrants generations neighborhoods and personal characteristics,No citations
810793,the relationship between state welfare rules and economic disconnection among low income single mothers,No citations
869112,the impact of the acas extension of coverage to dependents on young adults access to care and prescription drugs,Not in WOS or Misspelling
757933,levels and trends in us income and its distribution a crosswalk from market income towards a comprehensive haigsimons income approach,Not in WOS or Misspelling
138430,decomposing technical change,No citations
944772,when it rains it pours under what circumstances does job loss lead to divorce,No citations
940674,effect of stress on later life health evidence from the vietnam war draft,No citations
109975,a note on ownership and performance in manufacturing firms,No citations
146233,unionism and gross employment flows,No citations
343456,the impact of minimum wages on job training an empirical exploration with establishment data,No citations
370157,transitions from welfare and the employment prospects of low skill workers,No citations
983516,how do local labor markets and human capital affect employment outcomes after job loss,No citations
744607,synthetic establishment data origins and introduction to current research,Not in WOS or Misspelling
931247,assimilation and coverage of the foreign born population in administrative records,Not in WOS or Misspelling
744611,a first step towards a german synlbd constructing a german longitudinal business database,Not in WOS or Misspelling
931246,when race and hispanic origin reporting are discrepant across administrative records and third party sources exploring methods to assign responses,Not in WOS or Misspelling
948670,evaluating race and hispanic origin responses of medicaid participants using census data,Not in WOS or Misspelling
744608,expanding the role of synthetic data at the us census bureau,Not in WOS or Misspelling
744609,looking back on three years of using the synthetic lbd beta,Not in WOS or Misspelling
827880,using partially synthetic microdata to protect sensitive cells in business statistics,Not in WOS or Misspelling
595232,structural change and industrial classification,Not in WOS or Misspelling
984219,earnings inequality and coordination costs evidence from us law firms,Not in WOS or Misspelling
339113,what determines environmental performance at paper mills the roles of abatement spending regulation and efficiency,Not in WOS or Misspelling
312025,tracing the sources of local external economies,No citations
715087,"why do higher income households choose low income neighbourhoods pioneering """"or"""" thrift",No citations
359203,the impact of violence surges on neighbourhood business activity,No citations
568710,"what is the ""neighbourhood"" in neighbourhood satisfaction comparing the effects of structural characteristics measured at the micro neighbourhood and tract levels",No citations
238897,multinationals production efficiency and spillover effects the case of the us auto parts industry,No citations
202727,formal and informal regulation of industrial pollution comparative evidence from indonesia and the united states,No citations
504007,factor prices factor substitution and exporting in us manufacturing affiliates abroad,No citations
818813,cheap imports and the loss of us manufacturing jobs,No citations
787217,origin of foreign direct investment and firm performance evidence from foreign acquisitions of chinese domestic firms,No citations
984119,trade liberalisation and labour shares in china,No citations
